job_title,company,location,experience,salary,posted_date,description
Computer Vision Engineer,Tesla,"Austin, TX",1-3 years,$120k-$160k,2024-10-23,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
Cloud Engineer,DigitalOcean,"Reston, VA",3-5 years,$110k-$140k,2024-11-08,"Design and manage cloud infrastructure on AWS or GCP. Experience with Terraform, Ansible, and CloudFormation. Docker and Kubernetes for container orchestration. CI/CD pipeline design with Jenkins and GitHub Actions. Linux system administration. Networking and security configuration. Monitoring with CloudWatch, Prometheus, and Grafana. Python and Shell scripting. Database management (PostgreSQL, DynamoDB). Cost optimization. Git version control."
Data Scientist,Airbnb,"New York, NY",0-2 years,$130k-$170k,2024-03-25,"Apply statistical methods and machine learning to solve business problems. Proficient in Python, R, and SQL. Experience with Pandas, NumPy, and scikit-learn. Build dashboards using Tableau and Power BI. Conduct A/B Testing and Hypothesis Testing. Deep Learning experience with TensorFlow or PyTorch is a plus. Knowledge of NLP and Text Classification. Work with large datasets using Spark. Strong Communication and presentation skills."
Backend Developer,Atlassian,"San Francisco, CA",1-3 years,$90k-$120k,2024-02-16,"Build scalable backend services and APIs. Expert in Python, Java, or Go. Experience with FastAPI, Flask, or Django. Database design with PostgreSQL and MongoDB. Redis for caching. Docker containerization. Kubernetes orchestration. CI/CD with Jenkins or GitHub Actions. RESTful API and GraphQL design. Linux server management. Git version control. Microservices architecture. Message queues with Kafka or RabbitMQ."
NLP Engineer,Grammarly,Remote,1-3 years,$130k-$170k,2024-07-13,"Develop Natural Language Processing solutions at scale. Python and Deep Learning expertise. Transformer models (BERT, GPT) for NLP tasks. Text preprocessing and Feature Engineering for NLP. Sentence-BERT and embedding models. Knowledge of spaCy and NLTK. Build scalable NLP pipelines with Airflow. Deploy on AWS or GCP. Version control with Git. Research background in computational linguistics."
Backend Developer,Datadog,"Toronto, Canada",2-4 years,$90k-$120k,2024-05-04,Develop high-performance backend systems. Python and SQL expertise. FastAPI or Django for web services. PostgreSQL and Redis for data storage. Docker and Kubernetes for deployment. AWS cloud services. API Development and documentation. Git workflow and code review. Linux administration. Elasticsearch for search. CI/CD pipeline management. Strong Problem Solving skills.
Machine Learning Engineer,Nvidia,"Seattle, WA",1-3 years,$100k-$140k,2024-10-14,"Build and deploy deep learning models at scale. Proficient in Python, PyTorch, and TensorFlow. Expertise in Transformers, BERT, and GPT architectures. Experience with distributed training and model optimization. Knowledge of UMAP, HDBSCAN, and clustering techniques. Work with large-scale data using Pandas and NumPy. Deploy using Docker and Kubernetes on GCP. MLOps experience with Kubeflow and Vertex AI. Strong mathematical foundation in Probability and Optimization."
Machine Learning Engineer,Uber,Remote,3-5 years,$160k-$200k,2024-07-13,"Create end-to-end machine learning solutions for product features. Work with Python, TensorFlow, and PyTorch for model development. Experience with NLP tasks including Text Classification and Sentiment Analysis. Build scalable data pipelines with Kafka and Spark. Deploy using Docker and Kubernetes on Azure. MLflow for model versioning and experiment tracking. Strong foundation in Statistics, Regression, and Classification. Collaborative work in Agile/Scrum environment."
Cloud Engineer,IBM Cloud,Remote,4-7 years,$110k-$140k,2024-03-14,"Architect scalable cloud solutions. Multi-cloud experience (AWS, GCP, Azure). Kubernetes for orchestration. Docker for containerization. Terraform and Ansible for IaC. CI/CD with GitHub Actions. Linux and networking. Security best practices. Monitoring with Grafana. Python and Go for tooling. Database design. Agile methodology."
MLOps Engineer,BentoML,"San Francisco, CA",5-8 years,$130k-$170k,2024-02-11,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
Computer Vision Engineer,Canon,"Austin, TX",4-7 years,$150k-$190k,2024-12-25,"Build image recognition and analysis systems. Python and Deep Learning expertise. PyTorch for model development. CNN architectures (ResNet, EfficientNet, YOLO). Object Detection and Semantic Segmentation. Data augmentation and preprocessing with NumPy. Model optimization and quantization. Deploy using Docker and AWS. TensorFlow Lite for mobile deployment. Git version control."
Backend Developer,HashiCorp,"Seattle, WA",1-3 years,$140k-$180k,2024-06-23,Develop high-performance backend systems. Python and SQL expertise. FastAPI or Django for web services. PostgreSQL and Redis for data storage. Docker and Kubernetes for deployment. AWS cloud services. API Development and documentation. Git workflow and code review. Linux administration. Elasticsearch for search. CI/CD pipeline management. Strong Problem Solving skills.
Computer Vision Engineer,Nvidia,"Austin, TX",2-4 years,$160k-$200k,2024-03-02,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
NLP Engineer,Apple,"Seattle, WA",1-3 years,$110k-$150k,2024-05-26,"Create language understanding systems for product features. Python, PyTorch, and TensorFlow for model development. NLP tasks: Text Classification, Sentiment Analysis, NER. Experience with LLM and Generative AI. Hugging Face Transformers for model deployment. Data processing with Pandas and NumPy. Docker containerization. CI/CD with GitHub Actions. Strong Communication and research skills."
Computer Vision Engineer,Canon,"Austin, TX",3-5 years,$120k-$160k,2024-01-15,"Build image recognition and analysis systems. Python and Deep Learning expertise. PyTorch for model development. CNN architectures (ResNet, EfficientNet, YOLO). Object Detection and Semantic Segmentation. Data augmentation and preprocessing with NumPy. Model optimization and quantization. Deploy using Docker and AWS. TensorFlow Lite for mobile deployment. Git version control."
Computer Vision Engineer,Intel,"Palo Alto, CA",1-3 years,$140k-$180k,2024-10-10,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
NLP Engineer,Google,"San Francisco, CA",3-5 years,$150k-$190k,2024-02-05,"Create language understanding systems for product features. Python, PyTorch, and TensorFlow for model development. NLP tasks: Text Classification, Sentiment Analysis, NER. Experience with LLM and Generative AI. Hugging Face Transformers for model deployment. Data processing with Pandas and NumPy. Docker containerization. CI/CD with GitHub Actions. Strong Communication and research skills."
Data Analyst,Capital One,"Chicago, IL",0-1 years,$70k-$90k,2024-10-25,Extract insights from large datasets using SQL and Python. Create interactive dashboards with Tableau. Data manipulation with Pandas and NumPy. Statistical analysis and A/B Testing. Report generation and data storytelling. Knowledge of BigQuery and data warehousing. Excel proficiency for financial analysis. Problem Solving and critical thinking. Team collaboration skills.
Backend Developer,HashiCorp,"New York, NY",1-3 years,$140k-$180k,2024-11-02,"Build scalable backend services and APIs. Expert in Python, Java, or Go. Experience with FastAPI, Flask, or Django. Database design with PostgreSQL and MongoDB. Redis for caching. Docker containerization. Kubernetes orchestration. CI/CD with Jenkins or GitHub Actions. RESTful API and GraphQL design. Linux server management. Git version control. Microservices architecture. Message queues with Kafka or RabbitMQ."
Cloud Engineer,Cloudflare,"Austin, TX",3-5 years,$110k-$140k,2024-05-08,"Architect scalable cloud solutions. Multi-cloud experience (AWS, GCP, Azure). Kubernetes for orchestration. Docker for containerization. Terraform and Ansible for IaC. CI/CD with GitHub Actions. Linux and networking. Security best practices. Monitoring with Grafana. Python and Go for tooling. Database design. Agile methodology."
Data Analyst,Bank of America,"New York, NY",2-4 years,$70k-$90k,2024-06-06,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
Data Analyst,Visa,"Charlotte, NC",0-2 years,$60k-$80k,2024-08-22,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
AI Engineer,Databricks,Remote,3-5 years,$170k-$220k,2024-06-30,"Build and deploy AI systems using Large Language Models. Expert in Python, PyTorch, and TensorFlow. Experience with Transformers, BERT, GPT, and Hugging Face. Implement RAG (Retrieval Augmented Generation) pipelines. Work with LangChain and LangGraph for Agentic AI systems. Fine-tuning models for specific tasks. Deploy using Docker and Kubernetes on AWS. Vector Database experience with Pinecone, FAISS, or ChromaDB. Strong foundation in NLP and Deep Learning."
Computer Vision Engineer,Nvidia,"Austin, TX",3-5 years,$150k-$190k,2024-05-31,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
MLOps Engineer,BentoML,"New York, NY",5-8 years,$140k-$180k,2024-11-16,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
Data Analyst,Target,"Charlotte, NC",0-2 years,$80k-$110k,2024-12-26,Support business decisions through data analysis. SQL expert for complex queries. Python scripting with Pandas for data processing. Visualization with Power BI and Tableau. Statistical methods including Hypothesis Testing. Data quality assessment and cleaning. ETL pipeline understanding. Communication with non-technical stakeholders. Experience with Google Cloud or AWS analytics tools.
NLP Engineer,Meta,"New York, NY",3-5 years,$160k-$200k,2024-02-11,"Create language understanding systems for product features. Python, PyTorch, and TensorFlow for model development. NLP tasks: Text Classification, Sentiment Analysis, NER. Experience with LLM and Generative AI. Hugging Face Transformers for model deployment. Data processing with Pandas and NumPy. Docker containerization. CI/CD with GitHub Actions. Strong Communication and research skills."
Computer Vision Engineer,Canon,"Palo Alto, CA",1-3 years,$120k-$160k,2024-05-22,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
AI Engineer,Hugging Face,"New York, NY",3-5 years,$170k-$220k,2024-12-10,Develop cutting-edge Generative AI applications. Proficient in Python and Deep Learning frameworks. Experience with LLM deployment and Fine-tuning. Build conversational AI using LangChain and RAG. Knowledge of Prompt Engineering and model evaluation. Deploy with FastAPI and Docker. Cloud deployment on GCP or AWS. Experience with Hugging Face Transformers library. Computer Vision and multimodal AI experience. Git and CI/CD practices.
Computer Vision Engineer,Unity,"San Francisco, CA",3-5 years,$150k-$190k,2024-11-06,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
MLOps Engineer,Instacart,"San Francisco, CA",4-7 years,$140k-$180k,2024-10-15,"Build and maintain ML infrastructure and deployment pipelines. Expert in Python, Docker, and Kubernetes. Experience with MLflow, Kubeflow, and Airflow. CI/CD pipeline development with Jenkins and GitHub Actions. AWS or GCP cloud infrastructure. Terraform for infrastructure as code. Model monitoring and observability with Grafana. Linux system administration. Git version control. SageMaker or Vertex AI for managed ML. Model Deployment and Serving at scale."
Data Engineer,dbt Labs,"San Francisco, CA",4-6 years,$120k-$160k,2024-05-21,"Design scalable data infrastructure. Python, SQL, and Spark expertise. Build Data Pipeline systems with Airflow. Data Lake architecture on AWS S3 or GCS. Snowflake or BigQuery for analytics. Kafka for event streaming. ETL and data transformation with dbt. Docker and Kubernetes. Data Modeling and schema design. Hadoop ecosystem knowledge. Git workflow. Problem Solving skills."
Backend Developer,Stripe,"Seattle, WA",0-2 years,$100k-$140k,2024-08-28,"Build scalable backend services and APIs. Expert in Python, Java, or Go. Experience with FastAPI, Flask, or Django. Database design with PostgreSQL and MongoDB. Redis for caching. Docker containerization. Kubernetes orchestration. CI/CD with Jenkins or GitHub Actions. RESTful API and GraphQL design. Linux server management. Git version control. Microservices architecture. Message queues with Kafka or RabbitMQ."
MLOps Engineer,Instacart,Remote,2-4 years,$150k-$190k,2024-08-27,"Build and maintain ML infrastructure and deployment pipelines. Expert in Python, Docker, and Kubernetes. Experience with MLflow, Kubeflow, and Airflow. CI/CD pipeline development with Jenkins and GitHub Actions. AWS or GCP cloud infrastructure. Terraform for infrastructure as code. Model monitoring and observability with Grafana. Linux system administration. Git version control. SageMaker or Vertex AI for managed ML. Model Deployment and Serving at scale."
Machine Learning Engineer,Nvidia,Remote,2-4 years,$140k-$180k,2024-04-29,"Build and deploy deep learning models at scale. Proficient in Python, PyTorch, and TensorFlow. Expertise in Transformers, BERT, and GPT architectures. Experience with distributed training and model optimization. Knowledge of UMAP, HDBSCAN, and clustering techniques. Work with large-scale data using Pandas and NumPy. Deploy using Docker and Kubernetes on GCP. MLOps experience with Kubeflow and Vertex AI. Strong mathematical foundation in Probability and Optimization."
Data Engineer,Airbyte,"San Francisco, CA",3-5 years,$110k-$150k,2024-10-28,Build and maintain data pipelines at scale. Expert in Python and SQL. Experience with Spark and PySpark for distributed processing. Airflow for workflow orchestration. ETL pipeline development. Data Warehouse design with Snowflake or BigQuery. Kafka for real-time streaming. Docker deployment. AWS or GCP cloud services. dbt for data transformation. PostgreSQL and MongoDB. Data quality monitoring. Git version control.
Machine Learning Engineer,Apple,"Seattle, WA",5-7 years,$140k-$180k,2024-12-23,"Build and deploy deep learning models at scale. Proficient in Python, PyTorch, and TensorFlow. Expertise in Transformers, BERT, and GPT architectures. Experience with distributed training and model optimization. Knowledge of UMAP, HDBSCAN, and clustering techniques. Work with large-scale data using Pandas and NumPy. Deploy using Docker and Kubernetes on GCP. MLOps experience with Kubeflow and Vertex AI. Strong mathematical foundation in Probability and Optimization."
Data Scientist,Deloitte,"Boston, MA",2-4 years,$120k-$160k,2024-09-16,"Develop predictive models and data-driven insights. Expert in Python, SQL, and Statistics. Use scikit-learn, XGBoost, and LightGBM for modeling. Create visualizations with Matplotlib, Seaborn, and Plotly. Experience with Feature Engineering and Data Modeling. Knowledge of Clustering, Regression, and Classification techniques. Work with cloud platforms like AWS or GCP. Version control with Git. Agile methodology experience."
Data Scientist,Salesforce,"New York, NY",1-3 years,$130k-$170k,2024-05-31,"Develop predictive models and data-driven insights. Expert in Python, SQL, and Statistics. Use scikit-learn, XGBoost, and LightGBM for modeling. Create visualizations with Matplotlib, Seaborn, and Plotly. Experience with Feature Engineering and Data Modeling. Knowledge of Clustering, Regression, and Classification techniques. Work with cloud platforms like AWS or GCP. Version control with Git. Agile methodology experience."
Data Scientist,Twitter,"New York, NY",2-4 years,$120k-$160k,2024-07-25,"Apply statistical methods and machine learning to solve business problems. Proficient in Python, R, and SQL. Experience with Pandas, NumPy, and scikit-learn. Build dashboards using Tableau and Power BI. Conduct A/B Testing and Hypothesis Testing. Deep Learning experience with TensorFlow or PyTorch is a plus. Knowledge of NLP and Text Classification. Work with large datasets using Spark. Strong Communication and presentation skills."
AI Engineer,Scale AI,"New York, NY",3-5 years,$130k-$170k,2024-01-20,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
NLP Engineer,Duolingo,"New York, NY",4-6 years,$110k-$150k,2024-07-13,"Develop Natural Language Processing solutions at scale. Python and Deep Learning expertise. Transformer models (BERT, GPT) for NLP tasks. Text preprocessing and Feature Engineering for NLP. Sentence-BERT and embedding models. Knowledge of spaCy and NLTK. Build scalable NLP pipelines with Airflow. Deploy on AWS or GCP. Version control with Git. Research background in computational linguistics."
Data Analyst,Visa,"Chicago, IL",0-2 years,$60k-$80k,2024-03-02,Extract insights from large datasets using SQL and Python. Create interactive dashboards with Tableau. Data manipulation with Pandas and NumPy. Statistical analysis and A/B Testing. Report generation and data storytelling. Knowledge of BigQuery and data warehousing. Excel proficiency for financial analysis. Problem Solving and critical thinking. Team collaboration skills.
NLP Engineer,Primer AI,"Seattle, WA",3-5 years,$110k-$150k,2024-08-31,"Create language understanding systems for product features. Python, PyTorch, and TensorFlow for model development. NLP tasks: Text Classification, Sentiment Analysis, NER. Experience with LLM and Generative AI. Hugging Face Transformers for model deployment. Data processing with Pandas and NumPy. Docker containerization. CI/CD with GitHub Actions. Strong Communication and research skills."
Cloud Engineer,Microsoft Azure,"Seattle, WA",2-4 years,$150k-$190k,2024-12-03,"Architect scalable cloud solutions. Multi-cloud experience (AWS, GCP, Azure). Kubernetes for orchestration. Docker for containerization. Terraform and Ansible for IaC. CI/CD with GitHub Actions. Linux and networking. Security best practices. Monitoring with Grafana. Python and Go for tooling. Database design. Agile methodology."
Backend Developer,Amazon,"San Francisco, CA",2-4 years,$120k-$160k,2024-09-05,Design and implement backend infrastructure. Java or Python for server-side development. SQL database design with PostgreSQL or MySQL. MongoDB for document storage. Docker and Kubernetes. AWS or GCP deployment. RESTful API design. Microservices patterns. Message queue systems (Kafka). CI/CD automation. Git version control. Agile development methodology.
Computer Vision Engineer,Autodesk,"Austin, TX",1-3 years,$150k-$190k,2024-10-10,"Build image recognition and analysis systems. Python and Deep Learning expertise. PyTorch for model development. CNN architectures (ResNet, EfficientNet, YOLO). Object Detection and Semantic Segmentation. Data augmentation and preprocessing with NumPy. Model optimization and quantization. Deploy using Docker and AWS. TensorFlow Lite for mobile deployment. Git version control."
AI Engineer,Hugging Face,"San Francisco, CA",4-7 years,$180k-$250k,2024-06-17,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
MLOps Engineer,Instacart,"Austin, TX",2-4 years,$150k-$190k,2024-03-25,"Build and maintain ML infrastructure and deployment pipelines. Expert in Python, Docker, and Kubernetes. Experience with MLflow, Kubeflow, and Airflow. CI/CD pipeline development with Jenkins and GitHub Actions. AWS or GCP cloud infrastructure. Terraform for infrastructure as code. Model monitoring and observability with Grafana. Linux system administration. Git version control. SageMaker or Vertex AI for managed ML. Model Deployment and Serving at scale."
Backend Developer,Twilio,Remote,0-2 years,$90k-$120k,2024-01-23,Develop high-performance backend systems. Python and SQL expertise. FastAPI or Django for web services. PostgreSQL and Redis for data storage. Docker and Kubernetes for deployment. AWS cloud services. API Development and documentation. Git workflow and code review. Linux administration. Elasticsearch for search. CI/CD pipeline management. Strong Problem Solving skills.
MLOps Engineer,Uber,"New York, NY",3-5 years,$150k-$190k,2024-10-09,"Build and maintain ML infrastructure and deployment pipelines. Expert in Python, Docker, and Kubernetes. Experience with MLflow, Kubeflow, and Airflow. CI/CD pipeline development with Jenkins and GitHub Actions. AWS or GCP cloud infrastructure. Terraform for infrastructure as code. Model monitoring and observability with Grafana. Linux system administration. Git version control. SageMaker or Vertex AI for managed ML. Model Deployment and Serving at scale."
AI Engineer,OpenAI,Remote,2-4 years,$170k-$220k,2024-05-10,Develop cutting-edge Generative AI applications. Proficient in Python and Deep Learning frameworks. Experience with LLM deployment and Fine-tuning. Build conversational AI using LangChain and RAG. Knowledge of Prompt Engineering and model evaluation. Deploy with FastAPI and Docker. Cloud deployment on GCP or AWS. Experience with Hugging Face Transformers library. Computer Vision and multimodal AI experience. Git and CI/CD practices.
Backend Developer,Shopify,"New York, NY",0-2 years,$120k-$160k,2024-06-13,Develop high-performance backend systems. Python and SQL expertise. FastAPI or Django for web services. PostgreSQL and Redis for data storage. Docker and Kubernetes for deployment. AWS cloud services. API Development and documentation. Git workflow and code review. Linux administration. Elasticsearch for search. CI/CD pipeline management. Strong Problem Solving skills.
Data Scientist,Salesforce,"New York, NY",0-2 years,$100k-$140k,2024-08-24,"Build machine learning models for customer analytics and recommendation. Strong Python and SQL skills. Experience with Pandas, NumPy, and scikit-learn. Deep Learning with TensorFlow for advanced models. NLP experience for text analysis. Create reports using Tableau. Statistical analysis including Probability and Bayesian methods. Work with BigQuery and Snowflake data warehouses. Collaborate across teams with strong Communication skills."
Data Scientist,DataRobot,"Chicago, IL",0-2 years,$120k-$160k,2024-04-19,"Analyze complex datasets to extract actionable insights. Proficiency in Python, R, and SQL required. Statistical modeling with scikit-learn and advanced techniques. Data visualization with Tableau, Power BI, and Matplotlib. A/B Testing and experiment design expertise. Machine Learning model development and evaluation. Experience with cloud-based analytics on AWS. Feature Engineering for model improvement. Strong Problem Solving and analytical thinking."
Cloud Engineer,IBM Cloud,Remote,4-7 years,$150k-$190k,2024-02-24,Build and maintain cloud-native applications. AWS or Azure certification preferred. Terraform for infrastructure as code. Docker and Kubernetes expertise. CI/CD automation. Linux administration and Bash scripting. Networking and security. Monitoring and observability. Python scripting for automation. Cost management and optimization. Collaborative team environment.
NLP Engineer,Explosion AI,"San Francisco, CA",4-6 years,$160k-$200k,2024-07-18,"Develop Natural Language Processing solutions at scale. Python and Deep Learning expertise. Transformer models (BERT, GPT) for NLP tasks. Text preprocessing and Feature Engineering for NLP. Sentence-BERT and embedding models. Knowledge of spaCy and NLTK. Build scalable NLP pipelines with Airflow. Deploy on AWS or GCP. Version control with Git. Research background in computational linguistics."
Data Scientist,DataRobot,"New York, NY",1-3 years,$120k-$160k,2024-11-29,"Apply statistical methods and machine learning to solve business problems. Proficient in Python, R, and SQL. Experience with Pandas, NumPy, and scikit-learn. Build dashboards using Tableau and Power BI. Conduct A/B Testing and Hypothesis Testing. Deep Learning experience with TensorFlow or PyTorch is a plus. Knowledge of NLP and Text Classification. Work with large datasets using Spark. Strong Communication and presentation skills."
Data Engineer,Prefect,"Denver, CO",1-3 years,$150k-$190k,2024-11-20,"Develop data platform solutions. Python and SQL for data processing. PySpark for large-scale transformations. Airflow or Prefect for orchestration. Data Warehouse management (Snowflake, BigQuery). Kafka and streaming architectures. Docker containerization. Cloud platforms (AWS, GCP). ETL pipeline development. dbt for transformations. PostgreSQL database management. Data quality frameworks."
Machine Learning Engineer,Netflix,"New York, NY",3-5 years,$120k-$160k,2024-05-20,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
Data Engineer,Confluent,"San Francisco, CA",3-5 years,$110k-$150k,2024-11-07,"Design scalable data infrastructure. Python, SQL, and Spark expertise. Build Data Pipeline systems with Airflow. Data Lake architecture on AWS S3 or GCS. Snowflake or BigQuery for analytics. Kafka for event streaming. ETL and data transformation with dbt. Docker and Kubernetes. Data Modeling and schema design. Hadoop ecosystem knowledge. Git workflow. Problem Solving skills."
